date,code,totalCnt,forignerHaveLimit,forignerHaveCnt,min52week,max52week,per,eps,per_eps_date,estimate_per,estimate_eps,pbr,bps,pbr_bps_date,dvr
2021.02.26 기준(장마감),064350,109142293,109142293,5539048,24250,8730,0,-1761,2020.09,46.00,424,1.58,12404,2020.09,0
2021.02.26 기준(장마감),003090,58141980,58141980,3158710,86700,6470,42.11,868,2020.09,0,0,2.40,15248,2020.09,0
2021.02.26 기준(장마감),011210,27195083,27195083,2965651,108500,19850,16.66,4628,2020.09,17.00,4479,0.64,120437,2020.09,0.91
2021.02.26 기준(장마감),007310,3671981,3671981,605528,627000,402000,18.92,29596,2020.09,14.00,39488,1.39,401831,2020.09,1.43
2021.02.26 기준(장마감),001450,89400000,89400000,31980962,28000,16600,5.37,4075,2020.09,5.00,4001,0.35,63157,2020.09,4.57
2021.02.26 기준(장마감),185750,11426099,11426099,1409441,273774,58093,20.29,8429,2020.09,0,0,3.57,47895,2020.09,0
2021.02.26 기준(장마감),138930,325935246,325935246,128384288,6380,3565,4.00,1474,2020.09,3.00,1735,0.22,26771,2020.09,5.42
2021.02.26 기준(장마감),012450,50630000,50630000,9361282,46650,14850,25.88,1426,2020.09,13.00,2740,0.74,50024,2020.09,0.81
2021.02.26 기준(장마감),214320,20000000,20000000,6020047,70400,41300,19.25,3211,2020.09,15.00,4033,1.60,38672,2020.09,2.91
2021.02.26 기준(장마감),051600,45000000,45000000,4650949,34450,24500,9.97,2694,2020.09,8.00,3177,1.17,22983,2020.09,0
2021.02.26 기준(장마감),016380,100008897,100008897,111341,21300,4950,14.44,824,2020.09,0,0,1.26,9462,2020.09,0.84
2021.02.26 기준(장마감),001800,62645422,62645422,4051952,15150,10400,12.35,1113,2020.09,0,0,0.42,32821,2020.09,4.73
2021.02.26 기준(장마감),001230,95432737,95432737,25336336,9560,2780,0,-570,2020.09,0,0,0.41,21689,2020.09,2.22
2021.02.26 기준(장마감),105630,40000000,40000000,3298174,21900,6810,126.38,163,2020.09,12.00,1739,1.92,10729,2020.09,2.43
2021.02.26 기준(장마감),002350,97667877,97667877,6807620,8520,3815,56.13,150,2020.09,10.00,816,0.56,14976,2020.09,0
2021.02.26 기준(장마감),079550,22000000,22000000,1481357,47050,15600,25.45,1454,2020.09,12.00,3047,1.22,30362,2020.09,2.43
2021.02.26 기준(장마감),115390,53007638,53007638,38245808,14750,6420,59.68,248,2020.09,0,0,1.14,12931,2020.09,0
2021.02.26 기준(장마감),000150,16523835,16523835,1194685,66700,25700,9.50,4908,2020.09,0,0,0.50,93908,2020.09,4.29
2021.02.26 기준(장마감),049770,3859124,3859124,247107,225000,127000,10.68,18539,2020.09,9.00,21345,1.04,190221,2020.09,1.77
2021.02.26 기준(장마감),000070,8564271,8564271,661862,121500,32250,17.82,4793,2020.09,0,0,0.45,188938,2020.09,2.63
2021.02.26 기준(장마감),018250,26409935,26409935,548083,29200,18500,35.12,726,2020.09,30.00,862,2.02,12609,2020.09,0.78
2021.02.26 기준(장마감),052690,38220000,38220000,1036215,20500,12800,27.87,628,2020.09,0,0,1.37,12750,2020.09,0
2021.02.26 기준(장마감),003230,7533015,7533015,591480,140000,68200,8.61,10119,2020.09,8.00,10461,1.93,45029,2020.09,0.92
2021.02.26 기준(장마감),012630,59741721,59741721,12840757,12750,6800,6.19,1768,2020.09,0,0,0.27,40345,2020.09,0
2021.02.26 기준(장마감),006390,16821290,16821290,49111,43850,15800,12.74,3037,2020.09,0,0,2.90,13342,2020.09,2.84
2021.02.26 기준(장마감),108670,8967670,8967670,1717257,102000,30350,20.61,3470,2020.09,13.00,5346,0.73,97816,2020.09,0.42
2021.02.26 기준(장마감),001060,21539926,21539926,1198378,44632,17891,0,-1378,2020.09,0,0,3.06,9516,2020.09,1.08
2021.02.26 기준(장마감),005610,8629009,8629009,205199,79100,39950,0,-1525,2020.09,15.00,4883,1.92,37037,2020.09,0
2021.02.26 기준(장마감),005180,9851241,9851241,2512220,80500,35050,11.45,5084,2020.09,0,0,0.85,68587,2020.09,0
2021.02.26 기준(장마감),145990,10313449,10313449,477327,76500,23050,9.57,5726,2020.09,0,0,0.48,115104,2020.09,2.28
2021.02.26 기준(장마감),009410,38899098,38899098,4079517,13950,4064,1.53,7723,2020.09,0,0,0.77,15418,2020.09,2.74
2021.02.26 기준(장마감),008350,110179090,110179090,6392109,7980,2920,42.50,98,2020.09,0,0,2.44,1708,2020.09,0
2021.02.26 기준(장마감),001680,34648025,34648025,5458040,30300,13150,5.97,4180,2020.09,7.00,3474,0.81,30643,2020.09,0
2021.02.26 기준(장마감),071840,23607712,23607712,2740059,45250,11050,0,-3112,2020.09,8.00,4832,0.44,84414,2020.09,3.20
2021.02.26 기준(장마감),005440,97704482,97704482,10762715,9990,4815,21.27,426,2020.09,0,0,0.45,20075,2020.09,2.32
2021.02.26 기준(장마감),192400,7112437,7112437,411639,125000,58900,8.74,14536,2020.09,0,0,1.06,119584,2020.09,0
2021.02.26 기준(장마감),003520,182892731,182892731,8073264,12800,3530,0,-4,2020.09,0,0,9.98,646,2020.09,0
