date,code,start,close,min,max,amount
1999-11-11,35720,11200.0,11200.0,11200.0,11200.0,12.0
1999-11-15,35720,14000.0,14000.0,14000.0,14000.0,405.0
1999-11-16,35720,15650.0,15650.0,15650.0,15650.0,214.0
1999-11-17,35720,17500.0,17500.0,17500.0,17500.0,191.0
1999-11-18,35720,19600.0,19600.0,19600.0,19600.0,772.0
1999-11-19,35720,21950.0,21950.0,21950.0,21950.0,253.0
1999-11-22,35720,24550.0,24550.0,24550.0,24550.0,199.0
1999-11-23,35720,27450.0,27450.0,27450.0,27450.0,119.0
1999-11-24,35720,30700.0,30700.0,30700.0,30700.0,226.0
1999-11-25,35720,34350.0,34350.0,34350.0,34350.0,74.0
1999-11-26,35720,38450.0,38450.0,38450.0,38450.0,138.0
1999-11-29,35720,43050.0,43050.0,43050.0,43050.0,722.0
1999-11-30,35720,48200.0,48200.0,48200.0,48200.0,675.0
1999-12-01,35720,53900.0,53900.0,53900.0,53900.0,498.0
1999-12-02,35720,60300.0,60300.0,60300.0,60300.0,26283.0
1999-12-03,35720,67500.0,67500.0,67500.0,67500.0,4204.0
1999-12-06,35720,75600.0,75600.0,75600.0,75600.0,2279.0
1999-12-07,35720,84600.0,84600.0,84600.0,84600.0,1858.0
1999-12-08,35720,94700.0,94700.0,94700.0,94700.0,530.0
1999-12-09,35720,106000.0,106000.0,106000.0,106000.0,303.0
1999-12-10,35720,118500.0,118500.0,118500.0,118500.0,919.0
1999-12-13,35720,132500.0,132500.0,132500.0,132500.0,281.0
1999-12-14,35720,148000.0,148000.0,148000.0,148000.0,338.0
1999-12-15,35720,165500.0,165500.0,165500.0,165500.0,1665.0
1999-12-16,35720,185000.0,185000.0,185000.0,185000.0,445900.0
1999-12-17,35720,207000.0,194000.0,171000.0,207000.0,816998.0
1999-12-20,35720,189000.0,217000.0,185000.0,217000.0,389360.0
1999-12-21,35720,238000.0,220000.0,200000.0,243000.0,402655.0
1999-12-22,35720,230000.0,246000.0,230000.0,246000.0,504048.0
1999-12-23,35720,275500.0,275500.0,266000.0,275500.0,137005.0
1999-12-24,35720,274500.0,308500.0,260000.0,308500.0,250437.0
1999-12-27,35720,305000.0,345500.0,298500.0,345500.0,363146.0
1999-12-28,35720,365500.0,386500.0,356000.0,386500.0,179437.0
2000-01-04,35720,400000.0,340500.0,340500.0,406500.0,299705.0
2000-01-05,35720,300000.0,300000.0,300000.0,300000.0,11735.0
2000-01-06,35720,285000.0,264000.0,264000.0,299000.0,287096.0
2000-01-07,35720,232500.0,232500.0,232500.0,232500.0,12935.0
2000-01-10,35720,232500.0,235000.0,205000.0,245000.0,748874.0
2000-01-11,35720,263000.0,263000.0,251000.0,263000.0,158638.0
2000-01-12,35720,231500.0,247000.0,231500.0,293500.0,835796.0
2000-01-13,35720,233000.0,217500.0,217500.0,247000.0,481144.0
2000-01-14,35720,225000.0,233500.0,191500.0,243500.0,685501.0
2000-01-17,35720,250000.0,261500.0,224000.0,261500.0,498122.0
2000-01-18,35720,265000.0,292500.0,263000.0,292500.0,257945.0
2000-01-19,35720,324000.0,259000.0,257500.0,326500.0,748278.0
2000-01-20,35720,260000.0,281000.0,235000.0,287000.0,678076.0
2000-01-21,35720,281000.0,275000.0,265000.0,298000.0,539470.0
2000-01-24,35720,271000.0,273000.0,270500.0,284000.0,303779.0
2000-01-25,35720,245000.0,240500.0,240500.0,258000.0,254165.0
2000-01-26,35720,245000.0,220000.0,213000.0,250000.0,394786.0
2000-01-27,35720,205000.0,194000.0,194000.0,210000.0,247224.0
2000-01-28,35720,181000.0,217000.0,177000.0,217000.0,515977.0
2000-01-31,35720,213000.0,243000.0,206000.0,243000.0,206802.0
2000-02-02,35720,280500.0,279000.0,270000.0,299000.0,578226.0
2000-02-03,35720,156000.0,156000.0,149000.0,156000.0,201794.0
2000-02-07,35720,174500.0,174500.0,174500.0,174500.0,12519.0
2000-02-08,35720,195000.0,195000.0,169000.0,195000.0,600859.0
2000-02-09,35720,205000.0,218000.0,200000.0,218000.0,225518.0
2000-02-10,35720,229000.0,244000.0,220000.0,244000.0,163733.0
2000-02-11,35720,273000.0,273000.0,273000.0,273000.0,55360.0
2000-02-14,35720,264000.0,247000.0,240500.0,298000.0,1254125.0
2000-02-15,35720,250000.0,217500.0,217500.0,259000.0,648619.0
2000-02-16,35720,210000.0,243500.0,200000.0,243500.0,871486.0
2000-02-17,35720,246000.0,243500.0,235000.0,267500.0,1019885.0
2000-02-18,35720,250500.0,228000.0,225000.0,256500.0,912308.0
2000-02-21,35720,210000.0,206500.0,201500.0,228000.0,588638.0
2000-02-22,35720,215000.0,196000.0,191000.0,222000.0,481754.0
2000-02-23,35720,187000.0,180000.0,172500.0,193000.0,461574.0
2000-02-24,35720,199000.0,201500.0,190000.0,201500.0,198168.0
2000-02-25,35720,219500.0,200000.0,198000.0,221500.0,505172.0
2000-02-28,35720,190000.0,184000.0,183500.0,205000.0,472014.0
2000-02-29,35720,191000.0,184000.0,178500.0,195000.0,277474.0
2000-03-02,35720,190000.0,179500.0,173000.0,195000.0,309043.0
2000-03-03,35720,158000.0,158000.0,158000.0,165000.0,616721.0
2000-03-06,35720,165000.0,147000.0,142000.0,167500.0,476923.0
2000-03-07,35720,141500.0,156000.0,135000.0,159000.0,583977.0
2000-03-08,35720,148000.0,160000.0,147000.0,167000.0,765858.0
2000-03-09,35720,164000.0,179000.0,155000.0,179000.0,657180.0
2000-03-10,35720,185000.0,177000.0,169000.0,196000.0,805770.0
2000-03-13,35720,177000.0,157000.0,156000.0,180000.0,480702.0
2000-03-14,35720,143000.0,145500.0,141000.0,155000.0,432507.0
2000-03-15,35720,140000.0,142500.0,134000.0,154000.0,620710.0
2000-04-28,35720,54000.0,52500.0,50500.0,55400.0,416303.0
2000-05-01,35720,54000.0,52500.0,50500.0,55400.0,416303.0
2000-05-02,35720,54100.0,58800.0,53200.0,58800.0,332684.0
2000-05-03,35720,59900.0,62000.0,59200.0,63500.0,558891.0
2000-05-04,35720,62700.0,63500.0,60600.0,68400.0,444634.0
2000-05-08,35720,66100.0,62700.0,62500.0,68000.0,430612.0
2000-05-09,35720,60100.0,58600.0,57300.0,60500.0,262254.0
2000-05-10,35720,58500.0,57400.0,56000.0,60000.0,343443.0
2000-05-12,35720,55900.0,52000.0,51600.0,57100.0,299407.0
2000-05-15,35720,50000.0,45850.0,45800.0,51500.0,302507.0
2000-05-18,35720,45000.0,47200.0,41500.0,50800.0,946746.0
2000-05-19,35720,49500.0,52800.0,46100.0,52800.0,887775.0
2000-05-22,35720,54000.0,51100.0,49000.0,59100.0,1720376.0
2000-05-23,35720,53000.0,57200.0,51600.0,57200.0,615444.0
2000-05-24,35720,59900.0,64000.0,58500.0,64000.0,1163564.0
2000-05-25,35720,65000.0,69600.0,62000.0,71600.0,915709.0
2000-05-26,35720,66900.0,66000.0,63100.0,77500.0,1274576.0
2000-05-29,35720,66000.0,64300.0,62500.0,69000.0,744024.0
2000-05-30,35720,66000.0,72000.0,65100.0,72000.0,837302.0
2000-05-31,35720,77400.0,80600.0,75800.0,80600.0,911870.0
2000-06-01,35720,80600.0,78600.0,77300.0,84900.0,1171028.0
2000-06-02,35720,82800.0,78100.0,75300.0,85200.0,769922.0
2000-06-05,35720,83100.0,87400.0,81500.0,87400.0,613921.0
2000-06-07,35720,89000.0,97800.0,88000.0,97800.0,825567.0
2000-06-08,35720,104000.0,109500.0,98600.0,109500.0,1214861.0
2000-06-09,35720,105000.0,99600.0,96500.0,118500.0,1432711.0
2000-06-12,35720,99000.0,95400.0,91000.0,103500.0,816050.0
2000-06-13,35720,95000.0,90800.0,87500.0,102500.0,1032702.0
2000-06-14,35720,94300.0,90900.0,87700.0,96500.0,697344.0
2000-06-15,35720,89000.0,80000.0,80000.0,90000.0,474702.0
2000-06-16,35720,77000.0,89600.0,75000.0,89600.0,1330680.0
2000-06-19,35720,91000.0,83000.0,80300.0,96700.0,1523690.0
2000-06-20,35720,86700.0,84200.0,81600.0,89000.0,710312.0
2000-06-21,35720,85100.0,88300.0,84500.0,92000.0,1012569.0
2000-06-22,35720,90000.0,86900.0,85000.0,92400.0,665756.0
2000-06-23,35720,83000.0,88500.0,82800.0,91100.0,747297.0
2000-06-26,35720,88000.0,99100.0,87000.0,99100.0,1247345.0
2000-06-27,35720,102500.0,100000.0,95600.0,107000.0,2112011.0
2000-06-28,35720,100000.0,112000.0,98000.0,112000.0,1329988.0
2000-06-29,35720,117000.0,105000.0,104000.0,120500.0,2329785.0
2000-06-30,35720,103000.0,106000.0,99400.0,115500.0,1747762.0
2000-07-03,35720,106000.0,106000.0,104500.0,111000.0,732626.0
2000-07-04,35720,102000.0,97900.0,97200.0,107500.0,689029.0
2000-07-05,35720,96000.0,87000.0,86200.0,97000.0,798666.0
2000-07-06,35720,85000.0,89000.0,80300.0,89800.0,837620.0
2000-07-07,35720,90100.0,88100.0,87100.0,91900.0,436625.0
2000-07-10,35720,86200.0,84900.0,83000.0,89500.0,440176.0
2000-07-11,35720,85500.0,79000.0,78200.0,86800.0,596275.0
2000-07-12,35720,80100.0,88400.0,77800.0,88400.0,1299111.0
2000-07-13,35720,90000.0,86000.0,85000.0,95200.0,1626246.0
2000-07-14,35720,89900.0,87400.0,85500.0,91200.0,933559.0
2000-07-18,35720,88000.0,82000.0,80000.0,90000.0,956518.0
2000-07-19,35720,79100.0,72900.0,72500.0,82500.0,934901.0
2000-07-20,35720,70200.0,72000.0,67200.0,75500.0,1467906.0
2000-07-21,35720,71100.0,69400.0,68900.0,74400.0,483325.0
2000-07-24,35720,67100.0,67500.0,65400.0,69300.0,594324.0
2000-07-25,35720,67400.0,75600.0,64800.0,75600.0,687125.0
2000-07-26,35720,77600.0,72800.0,72100.0,80500.0,1155235.0
2000-07-27,35720,73500.0,70500.0,69100.0,73700.0,473923.0
2000-07-28,35720,68500.0,63800.0,63100.0,69000.0,462238.0
