date,code,start,close,min,max,amount
2016-10-04,241590,13500.0,14950.0,12150.0,16000.0,4562896.0
2016-10-05,241590,14800.0,15100.0,14450.0,15500.0,1095269.0
2016-10-06,241590,15100.0,15300.0,14050.0,15950.0,866798.0
2016-10-07,241590,15100.0,14500.0,14500.0,15500.0,335463.0
2016-10-10,241590,14400.0,14500.0,14300.0,16200.0,597020.0
2016-10-11,241590,14550.0,15000.0,14400.0,15400.0,252425.0
2016-10-12,241590,14750.0,15300.0,14650.0,15400.0,156469.0
2016-10-13,241590,15300.0,15150.0,14800.0,15300.0,95647.0
2016-10-14,241590,15000.0,15500.0,14950.0,15600.0,96745.0
2016-10-17,241590,15400.0,14550.0,14500.0,15600.0,174759.0
2016-10-18,241590,14550.0,14700.0,13800.0,14900.0,167770.0
2016-10-19,241590,14600.0,14500.0,14150.0,14800.0,51375.0
2016-10-20,241590,14500.0,14700.0,14400.0,15800.0,513018.0
2016-10-21,241590,14750.0,15400.0,14750.0,15400.0,166240.0
2016-10-24,241590,15300.0,15550.0,15200.0,15600.0,124228.0
2016-10-25,241590,15600.0,15100.0,14900.0,15600.0,65990.0
2016-10-26,241590,15250.0,15350.0,15050.0,15650.0,160565.0
2016-10-27,241590,15300.0,15500.0,14900.0,15800.0,130313.0
2016-10-28,241590,15250.0,15400.0,15050.0,15750.0,80731.0
2016-10-31,241590,15200.0,15000.0,14850.0,15450.0,41387.0
2016-11-01,241590,15150.0,15450.0,14750.0,15450.0,71745.0
2016-11-02,241590,15400.0,15150.0,15000.0,15650.0,94654.0
2016-11-03,241590,14950.0,15050.0,14550.0,15250.0,117287.0
2016-11-04,241590,15150.0,14700.0,14700.0,15150.0,33919.0
2016-11-07,241590,14800.0,14650.0,14650.0,15000.0,26951.0
2016-11-08,241590,14700.0,14900.0,14450.0,15000.0,67874.0
2016-11-09,241590,14950.0,14800.0,13800.0,14950.0,86837.0
2016-11-10,241590,14600.0,13600.0,13450.0,14750.0,335735.0
2016-11-11,241590,13800.0,13050.0,13050.0,13800.0,138693.0
2016-11-14,241590,13150.0,13500.0,13050.0,13700.0,191212.0
2016-11-15,241590,13800.0,14300.0,13500.0,14550.0,208458.0
2016-11-16,241590,14500.0,14750.0,14400.0,15150.0,168700.0
2016-11-17,241590,14650.0,14800.0,14600.0,15000.0,259759.0
2016-11-18,241590,14800.0,14500.0,14300.0,14900.0,83476.0
2016-11-21,241590,14500.0,14700.0,14350.0,14900.0,44476.0
2016-11-22,241590,14650.0,14450.0,14150.0,15000.0,101980.0
2016-11-23,241590,14350.0,14250.0,14200.0,14450.0,50960.0
2016-11-24,241590,14250.0,14250.0,14100.0,14600.0,25979.0
2016-11-25,241590,14450.0,14400.0,14100.0,14450.0,50493.0
2016-11-28,241590,14350.0,14900.0,14350.0,15050.0,48891.0
2016-11-29,241590,14900.0,14650.0,14400.0,14900.0,108863.0
2016-11-30,241590,14800.0,15000.0,14450.0,15000.0,33104.0
2016-12-01,241590,15050.0,14900.0,14250.0,15100.0,42275.0
2016-12-02,241590,15000.0,14450.0,14450.0,15000.0,18462.0
2016-12-05,241590,14500.0,14700.0,14250.0,14900.0,23254.0
2016-12-06,241590,14500.0,14550.0,14450.0,14950.0,9739.0
2016-12-07,241590,14450.0,14700.0,14300.0,14900.0,25903.0
2016-12-08,241590,14650.0,14850.0,14550.0,15050.0,28562.0
2016-12-09,241590,15100.0,15250.0,14950.0,16600.0,308935.0
2016-12-12,241590,15500.0,15450.0,15100.0,15650.0,67934.0
2016-12-13,241590,15200.0,15400.0,14800.0,15500.0,784072.0
2016-12-14,241590,15400.0,15100.0,14950.0,15400.0,121055.0
2016-12-15,241590,15050.0,14700.0,14600.0,15100.0,170375.0
2016-12-16,241590,14700.0,14750.0,14500.0,14850.0,49424.0
2016-12-19,241590,14700.0,14800.0,14250.0,14850.0,85676.0
2016-12-20,241590,14550.0,14700.0,14550.0,14900.0,48812.0
2016-12-21,241590,14600.0,14850.0,14500.0,14900.0,45359.0
2016-12-22,241590,14850.0,14950.0,14600.0,14950.0,31469.0
2016-12-23,241590,14900.0,14900.0,14750.0,15100.0,50380.0
2016-12-26,241590,14800.0,15200.0,14650.0,15200.0,46965.0
2016-12-27,241590,14950.0,15050.0,14900.0,15200.0,35033.0
2016-12-28,241590,14850.0,15150.0,14850.0,15300.0,56148.0
2016-12-29,241590,15150.0,15300.0,15000.0,15400.0,39250.0
2017-01-02,241590,15300.0,15200.0,14900.0,15300.0,25404.0
2017-01-03,241590,15050.0,15300.0,15050.0,15550.0,43492.0
2017-01-04,241590,15250.0,15300.0,15050.0,15450.0,57658.0
2017-01-05,241590,15150.0,15000.0,15000.0,15200.0,47137.0
2017-01-06,241590,15000.0,14600.0,14550.0,15000.0,47616.0
2017-01-09,241590,14500.0,14550.0,14450.0,14650.0,36763.0
2017-01-10,241590,14500.0,14350.0,14100.0,14650.0,62814.0
2017-01-11,241590,14200.0,14000.0,13900.0,14300.0,102601.0
2017-01-12,241590,13900.0,13700.0,13300.0,14150.0,132494.0
2017-01-13,241590,13700.0,13800.0,13500.0,14200.0,100755.0
2017-01-16,241590,13800.0,13650.0,13600.0,14050.0,36335.0
2017-01-17,241590,13700.0,14200.0,13650.0,14500.0,115530.0
2017-01-18,241590,14200.0,14750.0,14200.0,14950.0,301597.0
2017-01-19,241590,14700.0,14500.0,14450.0,14800.0,68995.0
2017-01-20,241590,14500.0,14700.0,14350.0,14950.0,116220.0
2017-01-23,241590,14600.0,14700.0,14300.0,14950.0,72250.0
2017-01-24,241590,14700.0,14400.0,14350.0,14950.0,64767.0
2017-01-25,241590,14400.0,14750.0,14400.0,14900.0,62906.0
2017-01-26,241590,15000.0,15000.0,14450.0,15100.0,100999.0
2017-01-31,241590,15000.0,14600.0,14000.0,15000.0,283083.0
2017-02-01,241590,14600.0,15400.0,14500.0,15450.0,341255.0
2017-02-02,241590,15400.0,15150.0,15000.0,15450.0,159040.0
2017-02-03,241590,15000.0,15600.0,14800.0,15650.0,219105.0
2017-02-06,241590,15350.0,16200.0,15100.0,16550.0,382847.0
2017-02-07,241590,16000.0,15650.0,15250.0,16100.0,162538.0
2017-02-08,241590,15650.0,15950.0,15400.0,16200.0,276434.0
2017-02-09,241590,15750.0,16050.0,15500.0,16150.0,138570.0
2017-02-10,241590,16050.0,16500.0,15850.0,16850.0,323225.0
2017-02-13,241590,16500.0,16550.0,15900.0,16700.0,102379.0
2017-02-14,241590,16500.0,16450.0,16250.0,17100.0,140999.0
2017-02-15,241590,16450.0,16000.0,15850.0,16800.0,122128.0
2017-02-16,241590,16050.0,15600.0,15450.0,16100.0,122464.0
2017-02-17,241590,15600.0,16100.0,15550.0,16350.0,73326.0
2017-02-20,241590,16400.0,16150.0,15750.0,16500.0,81575.0
2017-02-21,241590,16000.0,16450.0,16000.0,16750.0,93785.0
2017-02-22,241590,16650.0,16850.0,16500.0,17200.0,113196.0
2017-02-23,241590,17050.0,16850.0,16700.0,17150.0,93464.0
2017-02-24,241590,16800.0,15900.0,15900.0,17100.0,90031.0
2017-02-27,241590,15900.0,16200.0,15500.0,16450.0,47449.0
2017-02-28,241590,16800.0,16600.0,16200.0,16900.0,226373.0
2017-03-02,241590,16950.0,16600.0,16350.0,16950.0,51921.0
2017-03-03,241590,16550.0,16250.0,15900.0,16650.0,80605.0
2017-03-06,241590,16250.0,16550.0,15800.0,16800.0,79542.0
2017-03-07,241590,16500.0,16900.0,16100.0,17000.0,78136.0
2017-03-08,241590,16850.0,16800.0,16400.0,16850.0,44353.0
2017-03-09,241590,17400.0,17250.0,17050.0,18200.0,210146.0
2017-03-10,241590,17250.0,17800.0,16800.0,18250.0,241565.0
2017-03-13,241590,17950.0,17750.0,17050.0,18250.0,281575.0
2017-03-14,241590,17900.0,17450.0,17200.0,18000.0,110896.0
2017-03-15,241590,17400.0,17250.0,16800.0,17400.0,144136.0
2017-03-16,241590,17300.0,17600.0,17050.0,18050.0,149462.0
2017-03-17,241590,17600.0,17650.0,17550.0,17900.0,66998.0
2017-03-20,241590,17550.0,17550.0,17350.0,18000.0,91434.0
2017-03-21,241590,17550.0,17550.0,17200.0,17800.0,93535.0
2017-03-22,241590,17350.0,18100.0,17350.0,18200.0,112659.0
2017-03-23,241590,17850.0,18950.0,17850.0,18950.0,225727.0
2017-03-24,241590,18950.0,19300.0,18250.0,19500.0,133005.0
2017-03-27,241590,19000.0,18550.0,18550.0,19900.0,137642.0
2017-03-28,241590,18800.0,18750.0,18000.0,18950.0,100966.0
2017-03-29,241590,18900.0,18750.0,18450.0,18900.0,83672.0
2017-03-30,241590,18850.0,18250.0,18200.0,18850.0,38453.0
2017-03-31,241590,18100.0,18050.0,17800.0,18350.0,51848.0
2017-04-03,241590,18150.0,17900.0,17350.0,18150.0,115286.0
2017-04-04,241590,17600.0,17400.0,17300.0,17900.0,60590.0
2017-04-05,241590,17500.0,17500.0,17250.0,17800.0,74230.0
2017-04-06,241590,17600.0,17600.0,17150.0,17650.0,35372.0
2017-04-07,241590,17850.0,17700.0,17400.0,18000.0,53207.0
2017-04-10,241590,17800.0,17200.0,17200.0,17800.0,34451.0
2017-04-11,241590,17200.0,17400.0,17100.0,17600.0,59215.0
2017-04-12,241590,17300.0,17350.0,16950.0,17500.0,43829.0
2017-04-13,241590,17350.0,17300.0,17000.0,17800.0,79529.0
2017-04-14,241590,17350.0,17300.0,17050.0,17750.0,33690.0
2017-04-17,241590,17500.0,17750.0,17400.0,18150.0,58293.0
2017-04-18,241590,18000.0,18900.0,17600.0,18950.0,212827.0
2017-04-19,241590,18650.0,18250.0,18200.0,18950.0,430479.0
2017-04-20,241590,18150.0,17950.0,17950.0,18500.0,42542.0
2017-04-21,241590,18000.0,18050.0,17650.0,18350.0,67890.0
2017-04-24,241590,17900.0,17600.0,17500.0,18150.0,60567.0
2017-04-25,241590,17600.0,17500.0,17350.0,17850.0,62457.0
2017-04-26,241590,17400.0,17300.0,17100.0,17600.0,78671.0
2017-04-27,241590,17100.0,17700.0,17100.0,17900.0,65931.0
2017-04-28,241590,17900.0,17700.0,17500.0,18100.0,74114.0
2017-05-02,241590,17900.0,17550.0,17300.0,17900.0,33134.0
2017-05-04,241590,17550.0,17350.0,17050.0,17750.0,77642.0
2017-05-08,241590,17450.0,16950.0,16850.0,17450.0,167053.0
2017-05-10,241590,17150.0,17500.0,16950.0,17500.0,104432.0
2017-05-11,241590,17500.0,17450.0,17100.0,17600.0,90713.0
2017-05-12,241590,17550.0,17100.0,16700.0,17600.0,83280.0
2017-05-15,241590,17100.0,17100.0,16800.0,17150.0,77047.0
2017-05-16,241590,17300.0,16650.0,16550.0,17300.0,90599.0
2017-05-17,241590,16550.0,17200.0,16550.0,17200.0,91177.0
2017-05-18,241590,17200.0,17250.0,16950.0,17550.0,67163.0
2017-05-19,241590,17250.0,17900.0,17000.0,17950.0,112512.0
2017-05-22,241590,18300.0,18250.0,17900.0,18500.0,182719.0
2017-05-23,241590,18500.0,17700.0,17400.0,18500.0,88400.0
2017-05-24,241590,17850.0,17500.0,17250.0,17850.0,79926.0
2017-05-25,241590,17450.0,17750.0,17350.0,18050.0,94434.0
