date,code,start,close,min,max,amount
1996-06-25,12450,13400.0,13800.0,13200.0,13900.0,41480.0
1996-06-26,12450,14000.0,13700.0,13600.0,14000.0,25050.0
1996-06-27,12450,13300.0,13800.0,13300.0,14000.0,30140.0
1996-06-28,12450,14000.0,14300.0,13900.0,14600.0,71720.0
1996-06-29,12450,14300.0,14500.0,13900.0,14500.0,25960.0
1996-07-01,12450,14500.0,14900.0,14500.0,15200.0,83310.0
1996-07-02,12450,15000.0,14700.0,14400.0,15000.0,47910.0
1996-07-03,12450,14700.0,14400.0,14400.0,14700.0,44180.0
1996-07-04,12450,14500.0,14100.0,14000.0,14700.0,34800.0
1996-07-05,12450,14200.0,14000.0,14000.0,14200.0,30510.0
1996-07-06,12450,14000.0,14000.0,14000.0,14400.0,51780.0
1996-07-08,12450,14000.0,13800.0,13800.0,14000.0,25880.0
1996-07-09,12450,13800.0,14000.0,13700.0,14000.0,30260.0
1996-07-10,12450,14200.0,14000.0,13800.0,14200.0,27480.0
1996-07-11,12450,14000.0,13700.0,13500.0,14000.0,25740.0
1996-07-12,12450,13500.0,13500.0,13300.0,13700.0,21890.0
1996-07-13,12450,13400.0,13500.0,13400.0,13600.0,10830.0
1996-07-15,12450,13400.0,13000.0,13000.0,13500.0,18450.0
1996-07-16,12450,13000.0,13300.0,12700.0,13300.0,30160.0
1996-07-18,12450,13100.0,13500.0,13100.0,13700.0,32330.0
1996-07-19,12450,13200.0,13800.0,13200.0,13800.0,19100.0
1996-07-20,12450,13700.0,13600.0,13400.0,14000.0,9320.0
1996-07-22,12450,13600.0,13400.0,13400.0,13800.0,13200.0
1996-07-23,12450,13800.0,13700.0,13700.0,13900.0,24760.0
1996-07-24,12450,13000.0,13200.0,13000.0,13600.0,27470.0
1996-07-25,12450,13200.0,13000.0,13000.0,13200.0,44090.0
1996-07-26,12450,13000.0,12800.0,12800.0,13300.0,20010.0
1996-07-27,12450,12900.0,13000.0,12800.0,13000.0,12140.0
1996-07-29,12450,12700.0,12900.0,12700.0,13300.0,16200.0
1996-07-30,12450,12900.0,13000.0,12800.0,13000.0,11720.0
1996-07-31,12450,12600.0,13000.0,12600.0,13000.0,9860.0
1996-08-01,12450,13100.0,13000.0,12900.0,13200.0,17780.0
1996-08-02,12450,13000.0,13000.0,12900.0,13300.0,18780.0
1996-08-03,12450,12900.0,13000.0,12800.0,13000.0,7230.0
1996-08-05,12450,13000.0,13000.0,13000.0,13200.0,6870.0
1996-08-06,12450,13100.0,13300.0,13100.0,13300.0,17540.0
1996-08-07,12450,13400.0,13700.0,13300.0,13700.0,31930.0
1996-08-08,12450,13700.0,13400.0,13300.0,13800.0,17490.0
1996-08-09,12450,13500.0,13500.0,13300.0,13500.0,13070.0
1996-08-10,12450,13400.0,13500.0,13400.0,13500.0,6920.0
1996-08-12,12450,13500.0,13300.0,13300.0,13500.0,7570.0
1996-08-13,12450,13400.0,13300.0,13200.0,13400.0,10290.0
1996-08-14,12450,13300.0,13100.0,13000.0,13300.0,5770.0
1996-08-16,12450,12900.0,13000.0,12800.0,13000.0,15120.0
1996-08-17,12450,13000.0,13200.0,13000.0,13200.0,8880.0
1996-08-19,12450,12800.0,12900.0,12800.0,13200.0,9770.0
1996-08-20,12450,13000.0,12800.0,12800.0,13000.0,7890.0
1996-08-21,12450,12800.0,12400.0,12400.0,12800.0,18630.0
1996-08-22,12450,12500.0,12400.0,12400.0,12800.0,19780.0
1996-08-23,12450,12700.0,12500.0,12500.0,13000.0,13780.0
1996-08-24,12450,12300.0,12600.0,12300.0,12700.0,8920.0
1996-08-26,12450,12600.0,12400.0,12300.0,12600.0,11310.0
1996-08-27,12450,11700.0,12400.0,11700.0,12900.0,13620.0
1996-08-28,12450,12400.0,12400.0,12300.0,12600.0,13530.0
1996-08-29,12450,12500.0,12700.0,12200.0,12700.0,13350.0
1996-08-30,12450,12200.0,12900.0,12200.0,12900.0,20210.0
1996-08-31,12450,12700.0,12700.0,12600.0,12800.0,7150.0
1996-09-02,12450,12800.0,12600.0,12500.0,12800.0,14320.0
1996-09-03,12450,12500.0,12500.0,12200.0,12700.0,15430.0
1996-09-04,12450,12300.0,12200.0,12000.0,12600.0,29090.0
1996-09-05,12450,12300.0,12000.0,12000.0,12400.0,15440.0
1996-09-06,12450,12100.0,12000.0,11900.0,12100.0,14470.0
1996-09-07,12450,12000.0,11900.0,11900.0,12000.0,10040.0
1996-09-09,12450,11300.0,12100.0,11300.0,12200.0,34930.0
1996-09-10,12450,12100.0,12100.0,11900.0,12100.0,19380.0
1996-09-11,12450,12100.0,12300.0,11900.0,12300.0,18760.0
1996-09-12,12450,12700.0,13000.0,12600.0,13000.0,73520.0
1996-09-13,12450,13300.0,12700.0,12600.0,13400.0,77140.0
1996-09-14,12450,12700.0,12300.0,12200.0,12800.0,22410.0
1996-09-16,12450,12500.0,12200.0,12200.0,12700.0,26310.0
1996-09-17,12450,12200.0,12200.0,12100.0,12400.0,19610.0
1996-09-18,12450,12200.0,12000.0,12000.0,12200.0,21290.0
1996-09-19,12450,11300.0,11700.0,11300.0,12000.0,24700.0
1996-09-20,12450,11700.0,11200.0,11100.0,11700.0,18410.0
1996-09-21,12450,11000.0,11500.0,11000.0,11700.0,13430.0
1996-09-23,12450,11000.0,11800.0,11000.0,11800.0,28210.0
1996-09-24,12450,11400.0,11500.0,11400.0,11900.0,20240.0
1996-09-25,12450,11600.0,11800.0,11600.0,11900.0,44260.0
1996-09-30,12450,11800.0,11900.0,11800.0,12000.0,40800.0
1996-10-01,12450,11800.0,11500.0,11400.0,11800.0,38230.0
1996-10-02,12450,11500.0,12000.0,11500.0,12000.0,49690.0
1996-10-04,12450,12000.0,11500.0,11500.0,12000.0,29240.0
1996-10-05,12450,11100.0,11400.0,11100.0,11600.0,25940.0
1996-10-07,12450,11500.0,12000.0,11500.0,12000.0,50130.0
1996-10-08,12450,12100.0,12200.0,12100.0,12400.0,58710.0
1996-10-09,12450,12400.0,12900.0,12000.0,12900.0,109850.0
1996-10-10,12450,13200.0,13400.0,13100.0,13400.0,115910.0
1996-10-11,12450,13400.0,13600.0,13100.0,13700.0,107650.0
1996-10-12,12450,13600.0,13300.0,13200.0,13600.0,30840.0
1996-10-14,12450,13200.0,13000.0,13000.0,13500.0,49980.0
1996-10-15,12450,13100.0,12900.0,12800.0,13300.0,54430.0
1996-10-16,12450,12900.0,13000.0,12800.0,13000.0,43370.0
1996-10-17,12450,13100.0,13700.0,13100.0,13700.0,116230.0
1996-10-18,12450,14200.0,14500.0,13900.0,14500.0,274670.0
1996-10-19,12450,14800.0,14400.0,14100.0,14800.0,103790.0
1996-10-21,12450,14500.0,14000.0,14000.0,14700.0,75880.0
1996-10-22,12450,14100.0,14200.0,13800.0,14300.0,89470.0
1996-10-23,12450,14200.0,14000.0,13800.0,14200.0,60350.0
1996-10-24,12450,13800.0,13700.0,13600.0,14200.0,39970.0
1996-10-25,12450,13700.0,12900.0,12900.0,13700.0,49150.0
1996-10-26,12450,13100.0,13100.0,12900.0,13100.0,47500.0
1996-10-28,12450,13200.0,12500.0,12400.0,13200.0,29490.0
1996-10-29,12450,12400.0,12400.0,12300.0,12700.0,26640.0
1996-10-30,12450,12300.0,12100.0,12100.0,12600.0,21850.0
1996-10-31,12450,12300.0,12800.0,12300.0,12800.0,38430.0
1996-11-01,12450,13500.0,13500.0,13500.0,13500.0,11670.0
1996-11-02,12450,14200.0,13600.0,13600.0,14300.0,83830.0
1996-11-04,12450,13300.0,13100.0,12800.0,13300.0,45770.0
1996-11-05,12450,13000.0,12700.0,12500.0,13000.0,30750.0
1996-11-06,12450,12700.0,13400.0,12700.0,13400.0,34710.0
1996-11-07,12450,13700.0,13500.0,13200.0,13800.0,74340.0
1996-11-08,12450,13500.0,13500.0,13400.0,14100.0,95050.0
1996-11-09,12450,13600.0,12700.0,12700.0,14000.0,96780.0
